date,year,team,side,position,jersey,player
2021-09-12,2021,Chicago Bears,Offense,RT,74,G.Ifedi
2021-09-12,2021,Chicago Bears,Offense,TE,85,C.Kmet
2021-09-12,2021,Chicago Bears,Offense,TE,80,J.Graham
2021-09-12,2021,Chicago Bears,Offense,WR,11,D.Mooney
2021-09-12,2021,Chicago Bears,Offense,QB,14,A.Dalton
2021-09-12,2021,Chicago Bears,Offense,HB,32,D.Montgomery
2021-09-12,2021,Chicago Bears,Defense,OLB,94,R.Quinn
2021-09-12,2021,Chicago Bears,Defense,DE,98,B.Nichols
2021-09-12,2021,Chicago Bears,Defense,DT,96,A.Hicks
2021-09-12,2021,Chicago Bears,Defense,OLB,52,K.Mack
2021-09-12,2021,Chicago Bears,Defense,ILB,44,A.Ogletree
2021-09-12,2021,Chicago Bears,Defense,ILB,58,R.Smith
2021-09-12,2021,Chicago Bears,Defense,CB,23,M.Christian
2021-09-12,2021,Chicago Bears,Defense,CB,33,Ja.Johnson
2021-09-12,2021,Chicago Bears,Defense,CB,22,K.Vildor
2021-09-12,2021,Chicago Bears,Defense,S,38,Ta.Gipson
2021-09-12,2021,Chicago Bears,Defense,S,4,E.Jackson

2020-09-13,2020,Chicago Bears,Offense,WR,12,A.Robinson
2020-09-13,2020,Chicago Bears,Offense,TE,80,J.Graham
2020-09-13,2020,Chicago Bears,Offense,RT,70,B.Massie
2020-09-13,2020,Chicago Bears,Offense,RG,74,G.Ifedi
2020-09-13,2020,Chicago Bears,Offense,C,65,C.Whitehair
2020-09-13,2020,Chicago Bears,Offense,LG,68,J.Daniels
2020-09-13,2020,Chicago Bears,Offense,LT,72,C.Leno
2020-09-13,2020,Chicago Bears,Offense,QB,10,M.Trubisky
2020-09-13,2020,Chicago Bears,Offense,RB,32,D.Montgomery
2020-09-13,2020,Chicago Bears,Offense,WR,83,J.Wims
2020-09-13,2020,Chicago Bears,Offense,FB,81,J.Holtz
2020-09-13,2020,Chicago Bears,Defense,DT,96,A.Hicks
2020-09-13,2020,Chicago Bears,Defense,NT,98,B.Nichols
2020-09-13,2020,Chicago Bears,Defense,DE,95,R.Robertson-Harris
2020-09-13,2020,Chicago Bears,Defense,OLB,52,K.Mack
2020-09-13,2020,Chicago Bears,Defense,ILB,58,R.Smith
2020-09-13,2020,Chicago Bears,Defense,ILB,59,D.Trevathan
2020-09-13,2020,Chicago Bears,Defense,OLB,50,B.Mingo
2020-09-13,2020,Chicago Bears,Defense,CB,23,K.Fuller
2020-09-13,2020,Chicago Bears,Defense,S,38,Ta.Gipson
2020-09-13,2020,Chicago Bears,Defense,S,39,E.Jackson
2020-09-13,2020,Chicago Bears,Defense,CB,33,J.Johnson

date,year,team,side,position,jersey,player
2019-09-05,2019,Chicago Bears,Offense,TE,87,A.Shaheen
2019-09-05,2019,Chicago Bears,Offense,LT,72,C.Leno
2019-09-05,2019,Chicago Bears,Offense,LG,65,C.Whitehair
2019-09-05,2019,Chicago Bears,Offense,C,68,J.Daniels
2019-09-05,2019,Chicago Bears,Offense,RG,75,K.Long
2019-09-05,2019,Chicago Bears,Offense,RT,70,B.Massie
2019-09-05,2019,Chicago Bears,Offense,TE,85,B.Sowell
2019-09-05,2019,Chicago Bears,Offense,QB,10,M.Trubisky
2019-09-05,2019,Chicago Bears,Offense,RB,29,T.Cohen
2019-09-05,2019,Chicago Bears,Offense,RB,32,D.Montgomery
2019-09-05,2019,Chicago Bears,Offense,RB,25,M.Davis
2019-09-05,2019,Chicago Bears,Defense,DT,96,A.Hicks
2019-09-05,2019,Chicago Bears,Defense,NT,91,E.Goldman
2019-09-05,2019,Chicago Bears,Defense,DE,98,B.Nichols
2019-09-05,2019,Chicago Bears,Defense,OLB,52,K.Mack
2019-09-05,2019,Chicago Bears,Defense,ILB,58,R.Smith
2019-09-05,2019,Chicago Bears,Defense,ILB,59,D.Trevathan
2019-09-05,2019,Chicago Bears,Defense,OLB,94,L.Floyd
2019-09-05,2019,Chicago Bears,Defense,CB,23,K.Fuller
2019-09-05,2019,Chicago Bears,Defense,S,21,H.Clinton-Dix
2019-09-05,2019,Chicago Bears,Defense,S,39,E.Jackson
