season,position,player,total_snaps,offense_snaps,defense_snaps
2022,WR,N'Keal Harry,176,176,0
2022,WR,Nsimba Webster,10,10,0
2022,WR,Velus Jones Jr.,159,159,0
2023,C,Dan Feeney,91,91,0
2023,C,Doug Kramer,2,2,0
2023,C,Lucas Patrick,958,958,0
2023,CB,Christian Matthew,0,0,0
2023,CB,Greg Stroman,150,0,150
2023,CB,Jaylon Johnson,808,0,808
2023,CB,Jaylon Jones,148,0,148
2023,CB,Joejuan Williams,8,0,8
2023,CB,Josh Blackwell,21,0,21
2023,CB,Kyler Gordon,645,0,645
2023,CB,Terell Smith,377,0,377
2023,CB,Tyrique Stevenson,829,0,829
2023,DE,DeMarcus Walker,713,0,713
2023,DE,Dominique Robinson,242,0,242
2023,DE,Khalid Kareem,26,0,26
2023,DE,Montez Sweat,386,0,386
2023,DE,Rasheem Green,385,0,385
2023,DE,Yannick Ngakoue,592,0,592
2023,DT,Andrew Billings,506,0,506
2023,DT,Gervon Dexter,432,0,432
2023,DT,Justin Jones,739,0,739
2023,DT,Zacch Pickens,264,0,264
2023,FB,Khari Blasingame,186,186,0
2023,FS,A.J. Thomas,6,0,6
2023,FS,Eddie Jackson,645,0,645
2023,FS,Elijah Hicks,487,0,487
2023,G,Cody Whitehair,790,790,0
2023,G,Ja'Tyre Carter,176,176,0
2023,G,Nate Davis,666,666,0
2023,K,Cairo Santos,0,0,0
2023,LB,DeMarquis Gates,0,0,0
2023,LB,Dylan Cole,3,0,3
2023,LB,Jack Sanborn,412,0,412
2023,LB,Micah Baskerville,0,0,0
2023,LB,Noah Sewell,27,0,27
2023,LB,T.J. Edwards,1041,0,1041
2023,LB,Tremaine Edmunds,875,0,875
2023,LS,Patrick Scales,0,0,0
2023,P,Trenton Gill,0,0,0
2023,QB,Justin Fields,829,829,0
2023,QB,Nathan Peterman,4,4,0
2023,QB,Tyson Bagent,305,305,0
2023,RB,D'Onta Foreman,269,269,0
2023,RB,Darrynton Evans,88,88,0
2023,RB,Khalil Herbert,357,357,0
2023,RB,Roschon Johnson,395,395,0
2023,RB,Travis Homer,6,6,0
2023,SS,Duron Harmon,84,0,84
2023,SS,Jaquan Brisker,895,0,895
2023,SS,Quindell Johnson,35,0,35
2023,T,Aviante Collins,0,0,0
2023,T,Braxton Jones,730,730,0
2023,T,Darnell Wright,1133,1133,0
2023,T,Larry Borom,411,411,0
2023,T,Teven Jenkins,736,736,0
2023,TE,Cole Kmet,878,878,0
2023,TE,Marcedes Lewis,332,332,0
2023,TE,Robert Tonyan,323,323,0
2023,TE,Stephen Carlson,0,0,0
2023,WR,Chase Claypool,144,144,0
2023,WR,Collin Johnson,40,40,0
2023,WR,D.J. Moore,1029,1029,0
2023,WR,Darnell Mooney,766,766,0
2023,WR,Equanimeous St. Brown,213,213,0
2023,WR,Trent Taylor,123,123,0
2023,WR,Tyler Scott,439,439,0
2023,WR,Velus Jones Jr.,100,100,0
2024,C,Coleman Shelton,1122,1122,0
2024,C,Doug Kramer,84,84,0
2024,C,Ryan Bates,105,105,0
2024,CB,Ameer Speed,3,0,3
2024,CB,Jaylon Johnson,1032,0,1032
2024,CB,Jaylon Jones,76,0,76
2024,CB,Josh Blackwell,102,0,102
2024,CB,Kyler Gordon,725,0,725
2024,CB,Reddy Steward,18,0,18
2024,CB,Terell Smith,207,0,207
2024,CB,Tyrique Stevenson,811,0,811
2024,DE,Austin Booker,283,0,283
2024,DE,Daniel Hardy,31,0,31
2024,DE,Darrell Taylor,375,0,375
2024,DE,DeMarcus Walker,739,0,739
2024,DE,Dominique Robinson,84,0,84
2024,DE,Jacob Martin,222,0,222
2024,DE,Montez Sweat,616,0,616
2024,DT,Andrew Billings,298,0,298
2024,DT,Byron Cowart,335,0,335
2024,DT,Chris Williams,367,0,367
2024,DT,Gervon Dexter,617,0,617
2024,DT,Jonathan Ford,77,0,77
2024,DT,Zacch Pickens,228,0,228
2024,FB,Khari Blasingame,10,10,0
2024,FS,Adrian Colbert,0,0,0
2024,FS,Elijah Hicks,356,0,356
2024,FS,Kevin Byard,1056,0,1056
2024,G,Bill Murray,42,42,0
2024,G,Chris Glaser,1,1,0
2024,G,Nate Davis,142,142,0
2024,K,Cairo Santos,0,0,0
2024,LB,Amen Ogbongbemiga,15,0,15
2024,LB,Carl Jones,0,0,0
2024,LB,Jack Sanborn,235,0,235
2024,LB,Noah Sewell,5,0,5
2024,LB,T.J. Edwards,1055,0,1055
2024,LB,Tremaine Edmunds,1056,0,1056
2024,LS,Scott Daly,0,0,0
2024,P,Tory Taylor,0,0,0
2024,QB,Caleb Williams,1123,1123,0
2024,QB,Tyson Bagent,13,13,0
2024,RB,D'Andre Swift,751,751,0
2024,RB,Darrynton Evans,4,4,0
2024,RB,Khalil Herbert,27,27,0
2024,RB,Roschon Johnson,272,272,0
2024,RB,Travis Homer,75,75,0
2024,SS,Jaquan Brisker,294,0,294
2024,SS,Jonathan Owens,429,0,429
2024,SS,Tarvarius Moore,0,0,0
2024,T,Braxton Jones,720,720,0
2024,T,Darnell Wright,1022,1022,0
2024,T,Jake Curhan,261,261,0
2024,T,Kiran Amegadjie,125,125,0
2024,T,Larry Borom,330,330,0
2024,T,Matt Pryor,1006,1006,0
2024,T,Teven Jenkins,738,738,0
2024,TE,Cole Kmet,994,994,0
2024,TE,Gerald Everett,246,246,0
2024,TE,Marcedes Lewis,220,220,0
2024,WR,Collin Johnson,32,32,0
2024,WR,D.J. Moore,1066,1066,0
2024,WR,DeAndre Carter,137,137,0
2024,WR,Keenan Allen,850,850,0
2024,WR,Rome Odunze,954,954,0
2024,WR,Tyler Scott,20,20,0
2024,WR,Velus Jones Jr.,4,4,0
2025,QB,Caleb Williams ,1302,1302,0
2025,RB,D'Andre Swift,710,710,0
2025,WR,DJ Moore,1104,1104,0
2025,WR ,Rome Odunze,849,849,0
2025,TE ,Cole Kmet,873,873,0
2025,TE,Colston Loveland,817,817,0
2025,LT,Theo Benedet,577,577,0
2025,LG ,Joe Thuney,1149,1149,0
2025,C,Drew Dalman ,1154,1154,0
2025,RG,Jonah Jackson ,1133,1133,0
2025,RT,Darnell Wright,1074,1074,0
2025,DE,Montez Sweat,0,780,780
2025,DT,Grady Jarrett,0,610,610
2025,DT,Gervon Dexter,0,665,665
2025,DE,Austin Booker,0,521,521
2025,LB,Tremaine Edmunds ,0,813,813
2025,LB,TJ Edwards,0,569,569
2025,CB,Nahshon Wright,0,1041,1041
2025,CB ,Tyrique Stevenson ,0,588,588
2025,CB,CJ Gardner Johnson,0,565,565
2025,S,Kevin Byard,0,1071,1071
2025,S,Jaquan Brisker,0,1072,1072
2025,,,,,
2025,,,,,
2025,,,,,
2025,,,,,
2025,,,,,
2025,,,,,
2025,,,,,
2025,,,,,
2025,,,,,
2025,,,,,
2025,,,,,
2025,,,,,
2025,,,,,
2025,,,,,
2025,,,,,
2025,,,,,
2025,,,,,
2025,,,,,
2025,,,,,
2025,,,,,
2025,,,,,
2025,,,,,
2025,,,,,
2025,,,,,
2025,,,,,
2025,,,,,
2025,,,,,
2025,,,,,
2025,,,,,
